# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_minecraftcity_v4
# Exported by: amber
setting:	replacespawns 0
weapon_ttt_smokegrenade	-907.380615 -815.463013 208.164612	-1.394 -1.486 -1.419
weapon_ttt_smokegrenade	-839.012451 -877.984253 208.170242	-1.274 -1.504 -1.296
weapon_ttt_smokegrenade	-738.259277 -703.106018 208.182983	-1.002 -1.542 -1.019
weapon_ttt_smokegrenade	-826.398315 -657.011108 208.156281	-1.572 -1.414 -1.600
weapon_ttt_smokegrenade	-594.741333 -841.129028 208.155167	-1.595 -1.415 -1.625
weapon_ttt_smokegrenade	-615.735046 -866.018127 208.140396	-1.911 -1.293 -1.947
weapon_ttt_smokegrenade	-11.528140 -1346.783081 480.178741	-0.514 -1.743 -0.781
weapon_ttt_smokegrenade	-74.127792 -1266.115601 480.136505	-0.933 -1.615 -1.425
weapon_ttt_smokegrenade	-247.145004 -1311.707764 480.150757	-0.792 -1.677 -1.208
weapon_ttt_smokegrenade	-85.647255 -1375.428955 480.117981	-1.128 -1.329 -1.701
weapon_ttt_smokegrenade	-260.901459 -1434.256348 480.183838	-0.464 -1.747 -0.703
weapon_ttt_smokegrenade	-272.690002 -1268.691162 480.197632	-0.731 -4.737 -0.474
weapon_ttt_smokegrenade	-265.240540 -1270.277466 482.053009	22.890 42.582 89.794
weapon_ttt_smokegrenade	-306.000366 -1337.528076 480.149567	-0.804 -1.679 -1.226
weapon_ttt_smokegrenade	-224.276505 27.161594 48.152668	-1.669 -1.429 -1.786
weapon_ttt_smokegrenade	-176.126617 13.176707 48.173729	-1.200 -1.521 -1.220
weapon_ttt_smokegrenade	-200.032730 57.022430 48.149338	-1.720 -1.377 -1.752
weapon_ttt_smokegrenade	-147.427200 78.498665 48.178570	-1.097 -1.532 -1.115
weapon_ttt_smokegrenade	-611.821716 -1351.708496 304.162628	-1.436 -1.479 -1.462
weapon_ttt_smokegrenade	-533.792786 -1254.613403 304.145630	-1.799 -1.352 -1.833
weapon_ttt_smokegrenade	-104.278801 -364.112762 48.136257	-2.005 -1.231 -2.034
weapon_ttt_smokegrenade	-168.909317 -321.155487 48.170254	-1.274 -1.504 -1.296
weapon_ttt_smokegrenade	-688.971436 194.826462 48.155170	-1.596 -1.415 -1.625
weapon_ttt_smokegrenade	-810.793823 205.201523 48.140400	-1.911 -1.293 -1.947
weapon_ttt_smokegrenade	-750.983948 159.106964 48.177006	-1.130 -1.532 -1.149
weapon_ttt_smokegrenade	-462.777313 294.332397 160.143051	-1.854 -1.283 -1.889
weapon_ttt_smokegrenade	992.044861 -450.284088 32.167500	-1.333 -1.499 -1.356
weapon_ttt_smokegrenade	1221.853882 -314.243347 32.155170	-1.596 -1.414 -1.625
weapon_ttt_smokegrenade	581.408020 -1409.445679 160.132217	-0.976 -1.572 -1.491
weapon_ttt_smokegrenade	706.693420 -1479.012939 32.122940	-1.147 -1.263 -0.668
ttt_random_ammo	1197.773682 -464.723053 64.361534	0.066 0.000 0.011
ttt_random_ammo	1227.351196 -465.339569 64.335213	0.046 0.000 -0.026
ttt_random_ammo	1227.828491 -430.667480 32.369160	0.090 0.000 0.044
ttt_random_ammo	1198.732178 -434.621582 32.355438	0.057 0.000 -0.004
ttt_random_ammo	979.045227 -465.216034 32.358448	-0.060 -0.000 0.001
ttt_random_ammo	980.200989 -434.179810 32.320843	-0.047 -0.000 -0.034
ttt_random_ammo	1007.097412 -458.186493 32.364620	-0.072 -0.000 0.019
ttt_random_ammo	1005.083435 -428.367981 32.354198	-0.055 -0.000 -0.007
ttt_random_ammo	1006.601929 -403.179596 32.387810	-0.246 -0.001 0.241
ttt_random_ammo	973.447571 -331.126129 32.417568	-1.443 -0.025 1.702
ttt_random_ammo	980.716919 -307.682251 32.380203	-0.151 -0.001 0.123
ttt_random_ammo	1006.920593 -314.592468 32.360531	-0.063 -0.000 0.006
ttt_random_ammo	1000.972717 -336.721832 32.347603	-0.050 -0.000 -0.017
ttt_random_ammo	-278.798096 -1006.232666 -303.650970	0.051 0.000 -0.014
ttt_random_ammo	-301.063477 -1007.236206 -303.672150	0.046 0.000 -0.031
ttt_random_ammo	-305.787109 -1037.383667 -303.636505	0.071 0.000 0.018
ttt_random_ammo	-274.065216 -1039.833740 -271.547668	0.887 0.024 1.070
ttt_random_ammo	-368.345123 -1037.641968 -271.629028	0.096 0.000 0.053
ttt_random_ammo	-371.427338 -1013.418030 -303.571045	1.401 0.032 1.695
ttt_random_ammo	-331.436859 -1015.261353 -303.660034	0.047 0.000 -0.023
ttt_random_ammo	-430.309753 -1002.916870 -303.619141	0.190 -0.001 -0.171
ttt_random_ammo	-452.878387 -1001.443054 -303.566711	1.232 -0.030 -1.484
ttt_random_ammo	-434.254364 -801.586792 -303.669617	0.046 -0.000 0.029
ttt_random_ammo	-473.311920 -806.540161 -303.531006	0.559 0.020 0.676
ttt_random_ammo	-592.376465 -800.999268 -303.616058	0.244 0.001 0.239
ttt_random_ammo	-597.021057 -736.372070 -303.636505	0.071 0.000 0.018
ttt_random_ammo	-625.800049 -740.035950 -303.655426	0.049 0.000 -0.019
ttt_random_ammo	-621.214966 -704.088623 -303.642487	0.059 0.000 0.001
ttt_random_ammo	-623.752563 -656.690796 -303.622192	0.151 0.001 0.122
ttt_random_ammo	-630.786255 -621.235718 -303.634583	0.076 0.000 0.025
ttt_random_ammo	-628.715027 -584.342041 -303.664734	0.046 -0.000 0.027
ttt_random_ammo	-628.498108 -529.133179 -303.646667	0.054 0.000 -0.008
ttt_random_ammo	-1059.747437 -341.598297 -159.537949	-1.016 -0.026 1.226
ttt_random_ammo	-1065.925903 -345.295074 -159.494461	-1.259 -0.047 1.526
ttt_random_ammo	-1041.747803 -377.375946 -159.634583	0.077 0.000 0.026
ttt_random_ammo	-1040.993652 -421.462982 -159.647980	-0.053 -0.000 -0.011
ttt_random_ammo	-1037.391602 -466.740356 -159.634583	0.077 0.000 0.026
ttt_random_ammo	-1035.866455 -496.571991 -159.616226	0.242 -0.001 -0.237
ttt_random_ammo	-1043.287354 -542.302551 -159.619003	0.190 0.001 0.171
ttt_random_ammo	-1042.965698 -577.104614 -159.629028	0.099 0.000 0.056
ttt_random_ammo	-1077.947998 -588.724182 -159.640472	0.063 -0.000 -0.006
ttt_random_ammo	-1077.393555 -552.838623 -159.640472	0.063 0.000 0.006
ttt_random_ammo	-1070.234375 -428.889374 -159.538071	-1.015 -0.026 1.225
ttt_random_ammo	-1068.333374 -371.423676 -159.672165	0.046 0.000 -0.031
ttt_random_ammo	-1005.965881 -400.947174 -111.644562	0.057 0.000 -0.004
ttt_random_ammo	-999.905090 -364.892700 -95.616035	0.242 0.001 0.236
ttt_random_ammo	-1002.517639 -436.093811 -127.677246	0.047 -0.000 0.033
ttt_random_ammo	-1003.804382 -469.034149 -127.620552	0.168 0.001 0.143
ttt_random_ammo	-1006.511108 -496.515350 -127.664734	0.046 -0.000 0.027
ttt_random_ammo	-1016.280945 -527.152222 -111.629417	-0.091 -0.000 0.045
ttt_random_ammo	-1009.605103 -565.367371 -95.646667	0.054 0.000 -0.008
ttt_random_ammo	-1007.563232 -940.545044 -95.622169	0.150 0.001 0.121
ttt_random_ammo	-1007.222107 -976.475830 -111.661613	-0.047 0.000 0.025
ttt_random_ammo	-1003.240479 -1005.942932 -127.644562	0.057 0.000 -0.004
ttt_random_ammo	-1005.690430 -1036.545166 -127.672157	0.046 0.000 -0.031
ttt_random_ammo	-1008.405884 -1066.672852 -127.642494	0.059 0.000 0.001
ttt_random_ammo	-1003.998718 -1102.405518 -111.600685	-0.545 0.004 -0.609
ttt_random_ammo	-1013.230591 -1132.482178 -95.613312	0.314 0.002 0.326
ttt_random_ammo	-907.645752 -1138.140625 272.372681	0.103 -0.000 -0.064
ttt_random_ammo	-909.284241 -1094.927856 272.342255	0.046 -0.000 0.021
ttt_random_ammo	-913.339233 -1065.091309 272.392670	0.668 -0.006 -0.760
ttt_random_ammo	-954.049438 -1064.293091 272.403107	1.657 -0.032 -1.978
ttt_random_ammo	-979.603088 -1069.727051 272.386749	0.301 0.002 0.311
ttt_random_ammo	-978.645630 -1106.986450 272.409119	1.556 0.035 1.854
ttt_random_ammo	-977.344727 -1138.320679 272.353302	0.052 0.000 -0.008
ttt_random_ammo	-942.153748 -1143.213867 272.348999	0.049 -0.000 0.014
ttt_random_ammo	-854.749207 -1306.727661 272.325226	0.045 0.000 -0.031
ttt_random_ammo	-857.786194 -1335.982666 272.377838	0.143 0.001 0.115
ttt_random_ammo	-893.347839 -1350.673828 272.359497	0.060 0.000 0.005
ttt_random_ammo	-934.995178 -1332.012573 272.335175	0.045 0.000 -0.026
ttt_random_ammo	-921.444031 -1283.310547 272.376160	0.129 0.000 0.096
ttt_random_ammo	-938.995239 -1302.205688 272.322662	0.045 0.000 -0.032
ttt_random_ammo	-892.684021 -1315.840942 272.412170	0.033 -0.042 0.694
ttt_random_ammo	-872.591187 -1286.988647 272.363464	0.068 0.000 0.016
ttt_random_ammo	-435.015778 -1235.817505 288.464417	-0.946 0.025 -1.144
ttt_random_ammo	-434.375946 -1260.113037 288.327881	0.046 -0.000 0.031
ttt_random_ammo	-426.597076 -1299.004395 288.446808	0.964 0.026 1.159
ttt_random_ammo	-429.288116 -1326.796631 288.370972	0.098 0.000 0.054
ttt_random_ammo	-429.909210 -1364.685303 288.394318	0.929 0.011 1.077
ttt_random_ammo	-429.473358 -1387.240112 288.370941	0.098 -0.000 -0.055
ttt_random_ammo	-432.724304 -1419.758911 288.317444	0.047 0.000 -0.035
ttt_random_ammo	-52.460014 -1166.165161 272.333557	-0.046 -0.000 -0.028
ttt_random_ammo	60.040485 -1166.411865 272.356354	-0.057 -0.000 -0.003
ttt_random_ammo	176.732712 -1163.104492 272.346832	0.050 0.000 -0.017
ttt_random_ammo	-278.011353 -1163.782837 272.397644	-0.469 -0.003 0.516
ttt_random_ammo	-372.927979 -1166.537842 272.408997	-0.932 -0.011 1.081
ttt_random_ammo	78.162331 -311.216553 160.355423	0.056 0.000 -0.004
ttt_random_ammo	80.298004 -108.230865 160.414917	1.613 0.035 1.943
ttt_random_ammo	82.530006 109.248055 160.379456	0.164 0.001 0.140
ttt_random_ammo	76.233322 262.636292 160.376190	0.131 0.000 0.099
ttt_random_ammo	-14.102748 372.604156 160.335953	-0.046 -0.000 -0.026
ttt_random_ammo	75.136581 -574.838562 160.325287	0.046 0.000 -0.032
weapon_zm_rifle	68.164436 590.815308 319.069092	3.748 12.650 64.874
weapon_zm_rifle	-441.432983 519.619751 159.122742	3.665 12.651 65.607
weapon_zm_rifle	219.355530 -1270.036621 479.060638	3.768 12.648 64.834
item_ammo_revolver_ttt	160.954849 -495.890625 32.330967	0.463 0.070 0.050
item_ammo_revolver_ttt	143.387482 -490.212982 32.365738	0.467 0.060 0.038
item_ammo_revolver_ttt	155.112762 -476.037628 32.434521	0.474 0.056 0.013
weapon_ttt_confgrenade	312.112427 -1382.546021 274.126892	-36.223 -49.766 -90.737
weapon_ttt_confgrenade	-13.547480 -1321.899170 482.059570	-35.338 -56.334 -89.215
weapon_ttt_confgrenade	-139.135147 -1243.894409 482.062927	-35.387 -56.288 -89.291
weapon_ttt_confgrenade	-232.223785 -1316.390625 482.161102	-36.823 -54.941 -91.578
weapon_ttt_confgrenade	-233.850250 -1463.398193 482.049194	-35.186 -56.439 -88.982
weapon_ttt_confgrenade	-111.287193 -1450.893311 482.099182	-35.917 -55.815 -90.118
weapon_ttt_confgrenade	-566.043396 -1320.512573 306.129211	-36.259 -49.732 -90.792
weapon_ttt_confgrenade	-514.812561 -1405.625488 306.114960	-36.040 -49.938 -90.456
weapon_ttt_confgrenade	-183.508392 -19.207371 50.115303	-36.046 -49.928 -90.464
weapon_ttt_confgrenade	-235.539246 66.953033 50.140388	-36.429 -49.564 -91.057
weapon_ttt_confgrenade	-969.516541 -823.415222 210.235413	-37.880 -48.029 -93.403
weapon_ttt_confgrenade	-667.672852 -868.939941 210.176163	-36.976 -49.018 -91.922
weapon_ttt_confgrenade	-595.958435 -870.410461 210.136124	-36.364 -49.632 -90.956
weapon_ttt_confgrenade	208.633453 -1330.947144 306.133636	-36.420 -55.339 -90.922
weapon_ttt_confgrenade	74.109146 -1242.328735 306.087952	-35.751 -55.969 -89.859
weapon_ttt_confgrenade	-59.457241 -1248.536621 306.126892	-36.321 -55.438 -90.763
weapon_ttt_confgrenade	-149.447723 -1457.480835 306.093719	-35.835 -55.890 -89.991
weapon_ttt_confgrenade	1015.788940 -322.931458 34.136230	-36.366 -49.621 -90.958
weapon_ttt_confgrenade	1184.583984 -357.063538 34.427574	13.968 -10.172 -95.977
weapon_ttt_confgrenade	1226.227539 -412.722565 34.138763	-36.404 -49.585 -91.019
weapon_ttt_confgrenade	1017.730164 -355.983215 34.621067	40.075 -81.475 -97.593
weapon_ttt_confgrenade	163.076706 -644.488708 160.748734	20.616 -15.234 -40.544
weapon_ttt_confgrenade	86.884491 -439.893433 162.087875	-35.752 -55.970 -89.857
weapon_ttt_confgrenade	80.767288 -195.826401 162.109894	-36.072 -55.669 -90.365
weapon_ttt_confgrenade	92.223892 5.265089 162.140930	-35.663 -15.303 -91.406
weapon_ttt_confgrenade	84.534622 180.836395 162.126877	-36.321 -55.438 -90.763
weapon_ttt_confgrenade	77.459602 371.227142 162.096481	-35.877 -55.849 -90.055
weapon_ttt_confgrenade	578.017822 -653.921509 162.038620	14.299 -31.362 -88.640
weapon_ttt_confgrenade	516.061523 -1440.731934 162.131439	-36.387 -55.372 -90.870
weapon_ttt_confgrenade	572.972656 -710.430786 162.107300	-36.034 -55.708 -90.305
weapon_ttt_confgrenade	584.707764 -672.825684 162.129181	-36.354 -55.406 -90.817
weapon_ttt_confgrenade	525.580688 -660.638184 162.087967	-35.751 -55.969 -89.859
weapon_zm_revolver	151.449478 -521.738464 32.970303	1.742 -19.198 -86.245
