# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_westwood_v4
# Exported by: amber
setting:	replacespawns 1
weapon_ttt_smokegrenade	853.228149 1221.665649 -127.826080	-0.604 -1.348 -0.352
weapon_ttt_smokegrenade	855.011597 1204.739624 -127.858032	-0.944 -1.299 -0.550
weapon_ttt_smokegrenade	-43.461308 277.805664 168.188461	-0.418 -1.751 -0.633
weapon_ttt_smokegrenade	-38.979427 205.935349 168.126114	-1.054 -1.489 -1.574
weapon_ttt_smokegrenade	-44.573376 207.825119 169.479630	19.101 54.792 -89.269
weapon_ttt_smokegrenade	-37.897320 30.232489 168.151962	-0.780 -1.675 -1.190
weapon_ttt_smokegrenade	-42.283894 -29.322727 168.136536	-0.933 -1.616 -1.425
weapon_ttt_smokegrenade	-71.703506 507.967621 80.118034	-1.117 -1.329 -1.708
weapon_ttt_smokegrenade	-73.294685 666.460083 80.121361	-1.084 -1.481 -1.657
weapon_ttt_smokegrenade	-15.534495 1373.117065 136.145874	-0.841 -1.649 -1.283
weapon_ttt_smokegrenade	-52.016850 -432.740753 140.157608	-0.724 -1.695 -1.104
weapon_ttt_smokegrenade	124.310013 -622.260132 130.127701	-1.021 -1.553 -1.560
weapon_ttt_smokegrenade	833.551453 -617.979492 128.153122	-0.772 -1.674 -1.170
weapon_ttt_smokegrenade	1166.517212 -609.723999 184.149567	-0.810 -1.678 -1.223
weapon_ttt_smokegrenade	2079.314941 -554.572693 192.144592	-0.859 -1.651 -1.299
weapon_ttt_smokegrenade	2329.428711 -565.701355 192.124573	-1.052 -1.485 -1.608
weapon_ttt_smokegrenade	1389.036621 31.621645 78.174896	-3.463 14.846 49.510
weapon_ttt_smokegrenade	1388.567627 33.465954 77.189583	21.277 5.385 -25.875
weapon_ttt_smokegrenade	1385.810425 32.766438 81.143517	52.278 33.123 49.551
weapon_ttt_smokegrenade	2483.390137 140.469177 136.141998	-0.879 -1.638 -1.342
weapon_ttt_smokegrenade	1489.065186 -608.156250 184.126144	-1.036 -1.489 -1.584
weapon_ttt_smokegrenade	1330.338013 43.371910 192.112854	-1.177 -1.480 -1.782
weapon_ttt_smokegrenade	1021.226196 46.527321 192.114624	-1.151 -1.442 -1.760
weapon_ttt_smokegrenade	-22.776167 1131.101563 136.165817	-0.643 -1.723 -0.979
ttt_random_ammo	1694.003784 258.653809 -14.308049	0.923 0.026 1.122
ttt_random_ammo	1745.855835 257.517578 -14.318460	1.175 0.030 1.429
ttt_random_ammo	1574.852173 353.259949 -14.423117	0.045 0.000 -0.027
ttt_random_ammo	1658.237915 349.388214 -14.370207	0.424 0.003 0.462
ttt_random_ammo	-186.442245 -682.381775 24.391378	0.523 0.004 0.583
ttt_random_ammo	-180.266556 -645.835999 24.434978	1.211 0.030 1.458
ttt_random_ammo	-184.338303 -529.452026 24.359524	0.062 0.000 0.006
ttt_random_ammo	-186.283905 -500.156799 24.370970	0.097 0.000 0.054
ttt_random_ammo	-126.480408 -843.485352 -111.623901	0.132 -0.000 -0.100
ttt_random_ammo	-93.738243 -849.559265 -111.629036	0.098 0.000 0.055
ttt_random_ammo	-69.481056 -852.199280 -111.638481	0.066 0.000 0.011
ttt_random_ammo	-47.936256 -854.085876 -111.617485	0.211 0.001 0.198
ttt_random_ammo	-155.270355 -848.000122 -41.357784	0.412 1.923 -0.289
ttt_random_ammo	-183.726593 -849.942566 -41.371605	0.191 1.615 0.587
ttt_random_ammo	-202.056442 -850.747131 -41.326588	0.379 1.839 -0.230
ttt_random_ammo	-179.660034 -849.235352 94.642342	0.069 1.724 1.055
ttt_random_ammo	-176.747940 -606.386658 94.654739	0.772 -0.103 1.031
ttt_random_ammo	-183.239731 -577.419434 94.631248	-0.117 0.986 -0.059
ttt_random_ammo	-176.849716 -556.370056 94.533829	-0.113 0.101 -0.469
ttt_random_ammo	1342.445313 226.395523 64.379456	0.164 0.001 0.140
ttt_random_ammo	1299.628906 228.303085 64.359528	0.062 0.000 0.005
ttt_random_ammo	1239.417358 229.879898 64.351181	0.052 0.000 -0.011
ttt_random_ammo	1409.093506 49.243084 64.374481	0.119 0.000 0.082
ttt_random_ammo	1368.609619 43.992943 64.345314	-0.048 -0.000 -0.019
weapon_zm_rifle	532.662903 1476.885010 26.095648	0.326 -7.350 -88.813
weapon_zm_rifle	-39.554153 952.648499 135.300735	3.058 8.564 66.666
weapon_zm_rifle	-49.106915 131.137161 167.071823	3.741 12.649 64.887
weapon_zm_rifle	1149.336548 49.735542 191.112518	3.643 12.653 65.083
weapon_zm_rifle	1474.307373 -622.084778 183.142349	3.572 12.656 65.226
weapon_zm_rifle	2169.359619 -569.250671 191.074524	3.735 12.649 64.900
weapon_zm_rifle	2467.800293 89.662865 135.126465	3.610 12.654 65.150
weapon_ttt_glock	-266.142639 1665.768555 -110.893341	-0.390 25.545 90.819
weapon_ttt_glock	-125.730751 1529.256714 -110.889229	-0.695 25.625 91.346
weapon_ttt_glock	-273.814331 1793.554199 -110.289192	-2.690 26.602 95.083
weapon_ttt_glock	881.728760 755.087463 -110.890099	-0.680 25.653 91.234
weapon_ttt_glock	2644.992188 -860.358215 -126.892258	-0.626 25.137 90.992
item_ammo_revolver_ttt	859.752441 1888.650879 -127.608170	0.470 0.057 0.028
item_ammo_revolver_ttt	883.379395 1863.489624 -127.649498	0.466 0.064 0.043
item_ammo_revolver_ttt	-172.277618 1641.736328 -109.756332	-5.892 0.529 -2.820
item_ammo_revolver_ttt	-177.251617 1686.395386 -111.678017	0.446 -0.067 -0.059
item_ammo_revolver_ttt	575.507751 93.427521 -2.642889	0.456 0.062 0.044
item_ammo_revolver_ttt	563.889648 100.551575 -2.621310	0.460 0.058 0.036
item_ammo_revolver_ttt	556.634216 -659.630493 -127.647697	0.466 0.062 0.043
item_ammo_revolver_ttt	538.860779 -669.408203 -127.634262	0.467 0.060 0.038
item_ammo_revolver_ttt	-132.470642 -490.103424 -80.343971	0.444 -0.055 -0.041
item_ammo_revolver_ttt	-88.407463 -490.210388 -80.381424	0.433 -0.068 -0.054
item_ammo_revolver_ttt	77.604118 -802.485352 -72.019539	0.340 0.055 -0.219
item_ammo_revolver_ttt	35.348877 -802.260437 -72.132988	0.349 0.055 -0.207
weapon_zm_pistol	-221.862579 1536.552490 -110.915833	0.788 32.859 88.553
weapon_zm_pistol	-101.603500 1666.302124 -110.797760	1.138 -33.563 -92.308
weapon_zm_pistol	-188.036102 1795.560791 -106.010872	2.754 37.554 91.172
weapon_zm_pistol	-268.082520 502.685822 -111.116165	0.302 -36.259 -88.707
item_ammo_pistol_ttt	-252.717056 1646.368408 -110.537178	-0.332 -0.134 -4.605
item_ammo_pistol_ttt	-181.514664 1558.200317 -109.685394	-0.282 0.161 4.595
item_ammo_pistol_ttt	-126.619720 1680.253906 -109.691971	7.281 0.727 -4.435
item_ammo_pistol_ttt	-128.530579 1629.334106 -107.891922	7.410 -0.350 -0.035
item_ammo_pistol_ttt	-141.405594 1801.245850 -104.026550	-7.905 1.085 -9.099
item_ammo_pistol_ttt	-250.029388 1802.364258 -110.338501	-0.361 0.155 4.612
item_ammo_pistol_ttt	-278.400146 1814.219116 -109.387604	-0.335 0.156 4.607
item_ammo_pistol_ttt	-135.681915 1558.748169 -109.653801	-0.312 0.158 4.602
item_ammo_pistol_ttt	-330.295227 1320.423218 136.370758	-0.112 -0.019 -0.034
item_ammo_pistol_ttt	-298.349762 1361.772339 136.354309	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	615.270569 91.416321 -2.631196	-0.113 -0.019 -0.034
item_ammo_pistol_ttt	597.524963 93.098434 -2.604849	-0.090 -0.020 -0.027
item_ammo_pistol_ttt	866.923706 748.942566 -111.621742	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	900.520325 743.611633 -111.639290	-0.121 -0.019 -0.036
item_ammo_pistol_ttt	-271.905609 524.941895 -111.633179	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	-283.718903 499.422668 -111.606430	-0.092 -0.020 -0.028
item_ammo_pistol_ttt	1228.567749 79.978531 192.398239	-0.088 -0.020 -0.027
item_ammo_pistol_ttt	1211.905640 81.367516 192.328201	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	2652.364258 -837.174072 -127.582611	-0.071 -0.020 -0.022
item_ammo_pistol_ttt	2636.031006 -835.565002 -127.674400	-0.151 -0.018 -0.046
item_ammo_pistol_ttt	2609.291260 -839.091431 -127.616409	-0.101 -0.019 -0.030
item_ammo_pistol_ttt	2595.053467 -840.549988 -127.609657	-0.095 -0.020 -0.029
weapon_ttt_m16	-322.382660 1350.803101 136.837769	2.119 -5.965 84.055
weapon_ttt_m16	608.258118 69.559647 -2.160346	2.114 -5.966 84.043
weapon_ttt_m16	1224.398926 50.495796 192.838242	2.117 -5.965 84.052
weapon_ttt_m16	2601.040771 -865.058655 -127.174095	2.275 -6.200 84.177
weapon_ttt_confgrenade	-30.102217 1354.982788 138.099716	15.606 -25.919 -89.336
weapon_ttt_confgrenade	-38.098030 1369.041382 138.002228	13.427 -34.497 -88.258
weapon_ttt_confgrenade	501.739655 743.971863 -109.880684	15.367 -26.001 -89.706
weapon_ttt_confgrenade	487.355682 754.259705 -109.918282	15.820 -25.844 -88.997
weapon_ttt_confgrenade	2022.061401 -566.823975 194.128830	15.260 -26.035 -89.884
weapon_ttt_confgrenade	1309.917603 -837.770935 186.170456	14.738 -26.196 -90.677
weapon_ttt_confgrenade	843.558899 -766.013000 130.177551	14.658 -26.221 -90.811
weapon_ttt_confgrenade	-125.694885 -676.692017 142.119339	15.367 -26.001 -89.707
weapon_ttt_confgrenade	1186.806763 203.276215 194.140076	15.116 -26.079 -90.099
weapon_ttt_confgrenade	-174.931366 1104.685425 138.156082	14.920 -26.140 -90.403
weapon_zm_shotgun	852.756470 1446.919434 26.085152	-0.431 -11.222 -84.027
weapon_zm_shotgun	895.909729 1829.646973 -126.965126	-0.225 -8.956 -83.551
weapon_zm_shotgun	-272.592957 -777.314697 64.681252	-0.547 -8.557 -84.575
weapon_zm_shotgun	2420.005615 172.372482 -126.975090	-0.205 -8.957 -83.457
weapon_zm_shotgun	2429.700439 156.377731 -127.128578	0.881 -8.807 -82.235
weapon_zm_shotgun	2433.340820 161.693542 -124.941177	0.324 2.793 106.017
weapon_zm_shotgun	2442.296875 157.822128 -123.015656	1.124 3.259 121.327
weapon_zm_shotgun	1584.976440 94.859642 -102.938271	-0.388 -9.484 -83.806
weapon_zm_sledge	837.413147 675.359131 -130.262253	12.536 0.627 2.642
weapon_zm_sledge	508.705231 614.548767 -61.553017	18.476 1.117 3.685
weapon_zm_sledge	-349.845795 879.993652 -130.258148	12.684 0.637 2.664
weapon_zm_sledge	-94.896912 -137.220749 -130.209274	18.668 0.766 2.987
weapon_zm_sledge	-998.515991 -1239.575684 -608.249817	12.062 -2.529 2.697
weapon_zm_sledge	-999.974060 -1298.709717 -608.185547	19.140 0.491 3.015
weapon_zm_sledge	-981.851074 -1275.420532 -608.199890	18.868 -0.877 2.730
weapon_zm_sledge	-982.916504 -1218.780396 -608.249146	12.168 0.417 2.702
weapon_zm_sledge	-985.794983 -1318.442383 -608.203796	18.904 3.515 2.674
weapon_zm_sledge	-984.377441 -1338.018921 -608.233276	18.525 4.681 2.603
weapon_zm_revolver	885.119629 1883.809326 -127.029381	2.001 -19.126 -85.793
weapon_zm_revolver	-189.083344 1660.797119 -111.029449	-3.445 -21.772 -87.439
weapon_zm_revolver	566.223816 64.710136 -2.029525	1.877 -20.613 -86.009
weapon_zm_revolver	553.596375 -686.052307 -127.029770	1.683 -19.228 -86.347
weapon_zm_revolver	-113.620834 -493.185791 -79.869987	2.215 -18.398 -83.900
weapon_zm_revolver	57.846657 -804.869690 -71.498772	2.005 -19.819 -85.635
item_ammo_357_ttt	530.215454 1467.251831 25.336863	0.442 0.063 0.048
item_ammo_357_ttt	529.176208 1500.515381 25.412167	0.462 0.052 0.021
item_ammo_357_ttt	-34.003826 976.600281 136.425934	0.469 0.056 0.017
item_ammo_357_ttt	-72.279030 954.595886 136.326157	0.450 0.070 0.057
item_ammo_357_ttt	-50.903614 156.453888 168.353638	0.455 0.062 0.046
item_ammo_357_ttt	-44.585518 99.854713 168.377289	0.460 0.058 0.037
item_ammo_357_ttt	1160.531250 69.419632 192.319473	0.449 0.075 0.059
item_ammo_357_ttt	1143.708984 70.191399 192.326157	0.450 0.070 0.057
item_ammo_357_ttt	1436.136841 -617.356995 184.312469	0.447 0.075 0.062
item_ammo_357_ttt	1457.850952 -655.257751 184.387878	0.462 0.057 0.032
item_ammo_357_ttt	2119.716553 -557.803589 192.338654	0.452 0.066 0.052
item_ammo_357_ttt	2206.336426 -555.099426 192.353638	0.455 0.062 0.046
item_ammo_357_ttt	2472.083008 103.932686 136.319473	0.449 0.075 0.059
item_ammo_357_ttt	2485.745850 96.863098 136.365356	0.458 0.060 0.041
weapon_zm_mac10	893.871277 1223.617188 -126.775177	-0.745 -51.675 -88.153
weapon_zm_mac10	-126.782623 -658.506775 -71.183128	0.063 -52.639 -88.193
ttt_playerspawn	1329.845215 -810.728516 -111.538910	-0.014 -0.000 0.014
ttt_playerspawn	36.459782 -822.806274 0.509185	-0.037 -0.000 0.037
ttt_playerspawn	-225.470535 -786.918518 24.484396	-0.047 -0.000 0.047
ttt_playerspawn	-224.651932 -393.613220 24.520697	0.032 0.000 0.032
ttt_playerspawn	-37.313053 -685.916382 -111.508835	-0.044 -0.000 0.044
ttt_playerspawn	-134.229309 212.817459 32.530769	-0.028 -0.000 0.028
ttt_playerspawn	-108.884163 2.730062 32.518280	-0.033 -0.000 0.033
ttt_playerspawn	-282.589539 186.630005 -111.507202	-0.043 -0.000 0.043
ttt_playerspawn	-188.117676 108.738556 -111.460449	-0.024 -0.000 0.024
ttt_playerspawn	752.716187 467.252716 -2.515604	-0.047 -0.000 0.047
ttt_playerspawn	563.098572 337.450470 -119.504013	-0.042 -0.000 0.042
ttt_playerspawn	632.242371 458.158966 -119.500923	-0.041 -0.000 0.041
ttt_playerspawn	748.355957 296.798981 -119.513870	-0.046 -0.000 0.046
ttt_playerspawn	627.825134 112.150848 -119.489449	-0.036 -0.000 0.036
ttt_playerspawn	867.109375 -693.221619 8.486127	-0.046 -0.000 0.046
ttt_playerspawn	181.570419 1840.402100 -127.505867	-0.011 -0.000 0.011
ttt_playerspawn	303.305084 1845.673950 -127.509109	-0.011 -0.000 0.011
ttt_playerspawn	239.422882 1816.111694 -127.512451	-0.011 -0.000 0.011
ttt_playerspawn	673.738647 1425.734497 -127.491043	-0.009 -0.000 0.009
ttt_playerspawn	-293.123474 1009.448303 -111.481720	-0.033 -0.000 0.033
ttt_playerspawn	-134.138672 1015.974060 -111.497932	-0.039 -0.000 0.039
ttt_playerspawn	840.659058 830.742981 -111.502464	-0.041 -0.000 0.041
ttt_playerspawn	742.978699 821.053772 -111.456070	-0.023 -0.000 0.023
ttt_playerspawn	865.630737 815.898682 24.492796	-0.043 -0.000 0.043
ttt_playerspawn	584.849304 202.767136 -2.508834	-0.044 -0.000 0.044
ttt_playerspawn	490.238586 109.173347 -2.499416	-0.040 -0.000 0.040
ttt_playerspawn	495.858093 494.249390 -2.460453	-0.024 -0.000 0.024
ttt_playerspawn	490.131531 881.075928 24.551762	0.019 0.000 0.019
ttt_playerspawn	-300.680420 1322.816406 136.520706	-0.032 -0.000 0.032
ttt_playerspawn	-298.506165 977.561584 136.503540	-0.039 -0.000 0.039
ttt_playerspawn	-198.425186 128.413589 168.531799	-0.027 -0.000 0.027
ttt_playerspawn	444.867462 -776.603149 -127.547546	-0.015 -0.000 0.015
ttt_playerspawn	-132.661316 -777.714539 -111.519150	-0.048 -0.000 0.048
ttt_playerspawn	1308.721069 -796.571899 24.513203	-0.035 -0.000 0.035
ttt_playerspawn	1299.124512 67.093376 64.534821	-0.026 -0.000 0.026
ttt_playerspawn	1186.555298 53.654850 64.503540	-0.039 -0.000 0.039
ttt_playerspawn	1213.483521 73.650124 -111.493599	-0.038 -0.000 0.038
ttt_playerspawn	1487.221313 293.620850 -127.530769	-0.013 -0.000 0.013
ttt_playerspawn	1577.148315 191.872879 -103.474648	-0.030 -0.000 0.030
ttt_playerspawn	1739.132324 161.118088 -103.473534	-0.030 -0.000 0.030
ttt_playerspawn	2620.372559 -93.143448 -127.536827	-0.014 -0.000 0.014
ttt_playerspawn	2623.590088 -218.563950 -127.487022	-0.009 -0.000 0.009
ttt_playerspawn	2571.595459 -157.712357 -127.481926	-0.008 -0.000 0.008
ttt_playerspawn	2238.252441 -808.418701 64.535789	-0.026 -0.000 0.026
ttt_playerspawn	2150.200195 -762.130066 64.492371	0.045 0.030 0.164
