# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_woodedwidow
# Exported by: Believing Heart
setting:	replacespawns 1
weapon_ttt_smokegrenade	-500.771820 -344.603455 8.261536	-0.824 -1.509 -0.451
weapon_ttt_smokegrenade	-471.131012 -132.546173 8.245442	-1.413 -1.484 -0.773
weapon_ttt_smokegrenade	-2421.208740 -525.932129 9.381665	-3.419 -0.732 -1.672
weapon_ttt_smokegrenade	-2443.044189 -373.800323 14.660677	-3.462 0.177 2.759
weapon_ttt_smokegrenade	-2136.004395 1053.089355 0.981702	16.100 -58.642 -94.141
weapon_ttt_smokegrenade	67.414375 1451.613647 12.394269	26.311 23.142 101.425
weapon_ttt_smokegrenade	75.830956 1345.255737 0.826464	-4.917 -3.766 -2.834
weapon_ttt_smokegrenade	1480.143066 1422.317139 14.586898	21.591 23.370 99.817
weapon_ttt_smokegrenade	1371.823975 1305.942505 3.610164	24.252 158.157 87.189
weapon_ttt_smokegrenade	1797.958130 1102.195923 136.177795	-1.113 -1.532 -1.133
weapon_ttt_smokegrenade	1874.030518 1179.158691 136.176193	-1.147 -1.529 -1.167
weapon_ttt_smokegrenade	1301.457764 105.689537 0.170377	-1.168 -1.185 -1.873
weapon_ttt_smokegrenade	1279.856934 206.878006 0.180222	-0.634 -0.455 -0.543
weapon_ttt_smokegrenade	556.791931 251.024185 2.728666	22.329 -52.265 -92.955
ttt_playerspawn	25.962282 63.267227 3.125724	-5.522 0.562 -0.055
ttt_playerspawn	28.762426 158.288910 3.914805	-4.044 0.207 -4.816
ttt_playerspawn	35.230354 273.393250 6.104701	-7.251 10.475 3.203
ttt_playerspawn	675.022461 67.825806 0.537728	-0.204 0.010 -0.032
ttt_playerspawn	679.241516 -26.372807 0.548196	-0.063 -0.000 -0.062
ttt_playerspawn	1418.291138 -104.332321 0.553842	0.217 0.048 -0.027
ttt_playerspawn	1438.948853 59.759518 0.554687	-0.077 0.030 -0.207
ttt_playerspawn	1435.435791 219.165863 0.538699	0.245 0.042 0.041
ttt_playerspawn	1439.886230 343.670959 0.553596	-0.158 0.044 0.021
ttt_playerspawn	548.080139 1661.218506 136.525620	-0.073 -0.000 0.073
ttt_playerspawn	233.736984 1634.699707 0.458977	-0.014 -0.000 0.014
ttt_playerspawn	393.821442 1722.186035 0.452444	-0.015 -0.000 0.015
ttt_playerspawn	208.182526 339.948669 32.515282	-0.102 -0.000 0.102
ttt_playerspawn	354.219635 1342.050415 136.522171	-0.076 -0.000 0.076
ttt_playerspawn	612.953796 1331.308838 136.526718	-0.072 -0.000 0.072
ttt_playerspawn	815.688965 1590.110474 272.525604	-0.073 -0.000 0.073
item_ammo_revolver_ttt	-2288.241699 2380.695312 106.913994	0.537 0.149 -0.047
item_ammo_revolver_ttt	-2304.191650 2385.084717 106.892555	0.552 0.150 -0.059
weapon_zm_pistol	569.279358 263.197784 1.880111	0.649 30.586 95.177
weapon_zm_pistol	894.593811 -36.913033 5.862626	2.009 37.781 92.705
weapon_zm_pistol	-732.886169 138.991928 18.755791	-6.288 28.402 92.386
weapon_zm_pistol	-2839.862305 -50.844147 1.648874	0.772 34.382 89.688
weapon_zm_pistol	-1003.686890 954.402649 0.894543	0.720 -37.266 -89.013
item_ammo_pistol_ttt	584.330200 238.389908 0.404327	0.017 0.031 0.004
item_ammo_pistol_ttt	572.669128 285.682617 2.353156	4.300 -0.135 3.296
item_ammo_pistol_ttt	-2864.313721 761.961914 31.973705	-5.005 0.335 2.035
item_ammo_pistol_ttt	-2886.308594 743.854187 29.781086	-4.666 0.437 2.022
item_ammo_pistol_ttt	-2844.912354 -12.082691 2.080452	3.956 -0.006 1.871
item_ammo_pistol_ttt	-2818.427490 -6.661645 1.006369	3.014 -0.564 0.498
item_ammo_pistol_ttt	-2474.589600 -506.019104 10.393153	2.395 0.239 -0.801
item_ammo_pistol_ttt	-2497.319336 -488.570801 11.030037	2.337 -0.008 -0.633
item_ammo_pistol_ttt	-985.307373 934.773987 0.395428	-0.024 0.051 0.080
item_ammo_pistol_ttt	-1022.157898 982.256836 0.375554	0.333 -0.053 -0.009
item_ammo_pistol_ttt	-182.284744 595.800659 0.442431	-0.185 -0.058 0.352
item_ammo_pistol_ttt	-188.108856 624.900757 0.350194	0.026 0.030 0.006
item_ammo_pistol_ttt	896.267883 -67.857201 3.939248	3.813 -0.381 3.306
item_ammo_pistol_ttt	896.144104 -128.183380 0.723995	3.322 -0.043 0.915
weapon_ttt_confgrenade	1473.392700 1803.817749 5.896044	10.314 -89.608 100.018
weapon_ttt_confgrenade	1366.522339 1725.213623 2.102907	-35.857 -53.184 -90.175
weapon_ttt_confgrenade	1297.822021 97.230042 2.137817	-36.390 -56.140 -90.996
weapon_ttt_confgrenade	1275.713135 198.435562 2.107269	-35.923 -56.603 -90.276
weapon_ttt_confgrenade	446.149689 86.222504 34.075039	-35.431 -57.044 -89.533
weapon_ttt_confgrenade	440.810455 234.698257 34.109154	-35.952 -56.561 -90.320
weapon_ttt_confgrenade	-835.893311 972.488647 2.071302	-35.374 -57.087 -89.448
weapon_ttt_confgrenade	-548.737488 -105.699387 10.221821	-36.845 -55.665 -91.713
weapon_ttt_confgrenade	-508.421814 -284.387756 10.246619	-37.224 -55.262 -92.322
weapon_zm_sledge	200.457596 -449.924988 -746.191528	18.634 -0.122 2.992
weapon_zm_revolver	-784.429810 75.324303 3.351259	-2.307 27.948 93.972
weapon_zm_revolver	1492.372314 577.365356 0.906016	2.849 -17.179 -84.413
weapon_zm_revolver	-2296.839844 2393.734619 107.439102	2.888 -19.539 -84.457
